Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
Early Advisement and Registration begin for Winter/Spring 2021,10/5/2020,12:00 AM,10/5/2020,11:59 PM,TRUE,,
Last day to apply for ePermit,1/1/2021,12:00 AM,1/1/2021,11:59 PM,TRUE,,
Last day to drop with 100% tuition refund,1/1/2021,12:00 AM,1/1/2021,11:59 PM,TRUE,,
COLLEGE CLOSED - NO CLASSES,1/1/2021,12:00 AM,1/1/2021,11:59 PM,TRUE,,
Classes begin/Late registration,1/4/2021,12:00 AM,1/4/2021,11:59 PM,TRUE,,
Fee of $18 is charged per day for adding or swapping classes once the semester begins,1/4/2021,12:00 AM,1/4/2021,11:59 PM,TRUE,,
Fee of $25 is charged for late registration,1/4/2021,12:00 AM,1/4/2021,11:59 PM,TRUE,,
Last day to add/change a class,1/4/2021,12:00 AM,1/4/2021,11:59 PM,TRUE,,
Last day to drop for 50% tuition refund,1/4/2021,12:00 AM,1/4/2021,11:59 PM,TRUE,,
Verification of Enrollment Rosters Available to faculty,1/5/2021,12:00 AM,1/5/2021,11:59 PM,TRUE,,
"Course Withdrawal Drop (WD) period begins. A grade of ""WD"" is assigned to students who officially drop a class",1/5/2021,12:00 AM,1/5/2021,11:59 PM,TRUE,,
Verification of Enrollment Rosters Due from faculty,1/6/2021,12:00 AM,1/6/2021,11:59 PM,TRUE,,
"Course Withdrawal Drop (WD) period ends. Last day to drop  without   the grade of ""W""",1/6/2021,12:00 AM,1/6/2021,11:59 PM,TRUE,,
Last day to drop with 25% tuition refund,1/6/2021,12:00 AM,1/6/2021,11:59 PM,TRUE,,
"Course withdrawal period begins (A grade of ""W"" is assigned to students who officially drop a class)",1/7/2021,12:00 AM,1/7/2021,11:59 PM,TRUE,,
"""WN"" Grades Assigned",1/7/2021,12:00 AM,1/7/2021,11:59 PM,TRUE,,
Dr. Martin Luther King Jr. Day- COLLEGE CLOSED- NO CLASSES,1/18/2021,12:00 AM,1/18/2021,11:59 PM,TRUE,,
Last day to apply for Winter 2021 Graduation,1/18/2021,12:00 AM,1/18/2021,11:59 PM,TRUE,,
"Last day to withdraw with a grade of ""W""",1/24/2021,12:00 AM,1/24/2021,11:59 PM,TRUE,,
"Last day to opt for an ""NC"" grade",1/24/2021,12:00 AM,1/24/2021,11:59 PM,TRUE,,
Last day of classes (including final examinations),1/25/2021,12:00 AM,1/25/2021,11:59 PM,TRUE,,
Grade Submission Deadline,1/27/2021,12:00 AM,1/27/2021,11:59 PM,TRUE,,
